                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7761,                  3.036,                 2.0139,                0.00313,                0.78947,                0.21337,                0.08661,                 2.0965,                 3.8896,                 2.2979,                 0.0003,                 0.0003,                 0.0003
                      1,                   1.78,                 2.7154,                 1.9851,                0.00354,                0.89474,                0.06094,                0.02303,                 2.0772,                 3.9396,                 2.3613,             0.00058931,             0.00058931,             0.00058931
                      2,                 1.7215,                 2.6493,                 2.0045,                0.06223,                0.52632,                0.15268,                0.04224,                 2.0709,                 3.8602,                 2.3417,             0.00084694,             0.00084694,             0.00084694
                      3,                 1.7388,                  2.485,                 1.9249,                0.16333,                0.31579,                0.10991,                0.03599,                 2.1286,                 3.6204,                 2.3914,              0.0010729,              0.0010729,              0.0010729
                      4,                 1.8332,                 2.5347,                  2.003,                 0.0819,                0.31579,                0.13546,                 0.0656,                 2.1033,                 3.6136,                 2.3769,              0.0012672,              0.0012672,              0.0012672
                      5,                 1.8994,                 2.5923,                 2.0651,                0.18017,                0.31579,                  0.109,                0.02524,                  2.213,                 3.5301,                 2.7486,              0.0014297,              0.0014297,              0.0014297
                      6,                 1.8514,                 2.5545,                 2.0731,                0.16462,                0.15789,                0.09087,                0.02497,                 2.5678,                 3.4883,                 2.9331,               0.001406,               0.001406,               0.001406
                      7,                 1.8713,                 2.5234,                 2.0856,                0.36122,                0.36842,                 0.3211,                0.11713,                 2.0842,                 8.0406,                 2.2841,               0.001406,               0.001406,               0.001406
                      8,                 1.8643,                 2.5284,                 2.0486,                0.13364,                0.26316,                0.09402,                0.02623,                 2.2995,                 6.0428,                 2.4871,               0.001307,               0.001307,               0.001307
                      9,                 1.8226,                 2.3106,                 1.9926,                0.25532,                0.42105,                0.20595,                0.04764,                  2.517,                 5.7059,                 2.8306,               0.001208,               0.001208,               0.001208
                     10,                 1.9226,                  2.659,                 2.2807,                 0.2843,                0.31579,                0.21157,                0.06685,                 2.4129,                  4.293,                 2.6305,               0.001109,               0.001109,               0.001109
                     11,                 1.8352,                   2.48,                 2.1464,                 0.2373,                0.31579,                0.10318,                0.02401,                 2.2511,                 4.3992,                 2.7587,                0.00101,                0.00101,                0.00101
                     12,                 1.8205,                 2.3498,                 2.1121,                0.17132,                0.31579,                0.10312,                0.04036,                 2.2096,                 4.8121,                 2.4076,               0.000911,               0.000911,               0.000911
                     13,                 1.7116,                 2.3369,                 2.1183,                0.43691,                0.26316,                0.26187,                0.13138,                 1.8671,                  3.987,                 2.1194,               0.000812,               0.000812,               0.000812
                     14,                 1.8046,                 2.2924,                 2.1413,                 0.3123,                0.52632,                0.23018,                0.08468,                 1.9322,                 2.7968,                  2.114,               0.000713,               0.000713,               0.000713
                     15,                 1.7226,                  2.246,                 2.0461,                0.16751,                0.31579,                0.21796,                0.07337,                 1.9738,                 2.7953,                 2.2318,               0.000614,               0.000614,               0.000614
                     16,                 1.6514,                 2.1099,                  1.994,                0.60146,                0.36842,                0.35837,                 0.1461,                 1.9939,                 2.7003,                 2.2231,               0.000515,               0.000515,               0.000515
                     17,                 1.6419,                  2.032,                  1.948,                0.44849,                0.36842,                0.30914,                0.13989,                  2.126,                 2.7362,                 2.2689,               0.000416,               0.000416,               0.000416
                     18,                 1.6159,                 2.0426,                  1.937,                0.44158,                0.26316,                0.25867,                0.09859,                 2.1774,                 2.6798,                 2.2852,               0.000317,               0.000317,               0.000317
                     19,                 1.5353,                 1.9388,                 1.9141,                 0.3551,                 0.3771,                0.31013,                0.11507,                 2.1071,                 2.5597,                 2.2213,               0.000218,               0.000218,               0.000218
